Name,Dosage,Forme,Presentation,Price,Remboursement,DCI,Type,Prescription
ALEZINE,5 mg,Comprimes orodispersibles,B/18,8.28,5.707,LEVOCETIRIZINE,Antihistaminiques,Non
ALEZINE,5 mg,Comprimes orodispersibles,B/30,11.19,9.512,LEVOCETIRIZINE,Antihistaminiques,Non
ALEZINE,5 mg,Comprimes orodispersibles,B/6,4.28,1.902,LEVOCETIRIZINE,Antihistaminiques,Non
ALFACAPS,1 µg,Capsules molles,B/30,38.74,32.929,ALFACALCIDOL,Vitamines et compléments alimentaires,Non
ALGESIC,500 mg,Comprimes secables,B/20,2.365,0.85,PARACETAMOL,Analgésiques (antidouleurs),Non
ALGESIC EXTRA,500 mg/65 mg,Comprimes pellicules secables,B/16,3.205,1.782,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),Non
ALGETRA,"37,5 mg/325 mg",Comprimes pellicules,B/20,4.49,3.808,TRAMADOL + PARACETAMOL,Analgésiques (antidouleurs),Non
ALGIBREX,200 mg,Gelules,B/10,6.57,2.536,CELECOXIB,Anti-inflammatoires,Non
ALGIBREX,200 mg,Gelules,B/20,12.88,5.072,CELECOXIB,Anti-inflammatoires,Non
ALGIBREX,200 mg,Gelules,B/30,19.24,7.608,CELECOXIB,Anti-inflammatoires,Non
ALGIDOL,1000 mg,Comprimes secables,B/8,2.34,1.986,PARACETAMOL,Analgésiques (antidouleurs),Non
ALGIDOL,500 mg,Comprimes,B/16,1.575,0.68,PARACETAMOL,Analgésiques (antidouleurs),Non
ALGIDOL EXTRA,500 mg/65 mg,Comprimes pellicules,B/16,2.21,1.782,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),Non
ALLERGAMINE,"0,5 mg/5 ml",Sirop,FL/125 ml,4.414,1.063,DEXCHLORPHENIRAMINE,Antihistaminiques,Non
ALLERGICA,10 mg,Comprimes,B/10,5.49,2.125,CETIRIZINE,Antihistaminiques,Non
ALLERGICA,10 mg,Comprimes,B/20,7.63,4.25,CETIRIZINE,Antihistaminiques,Non
ALLERGICA,10 mg,Comprimes,B/30,12.13,6.375,CETIRIZINE,Antihistaminiques,Non
ALLERGODIL,"0,05%",Collyre,FL/6 ml,9.235,7.385,AZELASTINE,Antihistaminiques,Non
ALLERGUS,"0,5 mg/ml",Sirop,FL/150 ml,7.885,5.738,DESLORATADINE,Antihistaminiques,Non
ALLERGUS,"0,5 mg/ml",Solution buvable,FL/150 ml,6.895,5.738,DESLORATADINE,Antihistaminiques,Non
ALLERGUS,5 mg,Comprimes pellicules,B/15,6.695,4.118,DESLORATADINE,Antihistaminiques,Non
ALLERGUS,5 mg,Comprimes pellicules,B/30,11.75,8.236,DESLORATADINE,Antihistaminiques,Non
ALLERGUS,5 mg,Comprimes pellicules,B/5,2.56,1.373,DESLORATADINE,Antihistaminiques,Non
ALLERGY-STOP,5 mg,Comprimes pellicules,B/15,7.315,4.756,LEVOCETIRIZINE,Antihistaminiques,Non
ALLERGY-STOP,5 mg,Comprimes pellicules,B/30,11.765,9.512,LEVOCETIRIZINE,Antihistaminiques,Non
ALLERGYFAST,120 mg,Comprimes pellicules,B/15,7.655,6.503,FEXOFENADINE,Antihistaminiques,Non
ALLERGYFAST,180 mg,Comprimes pellicules,B/15,8.0,6.796,FEXOFENADINE,Antihistaminiques,Non
ALLERTEC,"0,10%",Sirop,FL/150 ml,9.335,5.355,CETIRIZINE,Antihistaminiques,Non
ALLERTEC,"1,00%",Solution buvable,FL/15 ml,4.6,3.137,CETIRIZINE,Antihistaminiques,Non
ALLERTEC,10 mg,Comprimes secables,B/15,7.635,3.188,CETIRIZINE,Antihistaminiques,Non
ALLERTEC,10 mg,Comprimes secables,B/30,10.9,6.375,CETIRIZINE,Antihistaminiques,Non
ALLERTEC,10 mg,Comprimes secables,B/7,3.625,1.488,CETIRIZINE,Antihistaminiques,Non
ALLERTEC,10 mg/ml,Solution buvable,FL/30 ml,7.4,6.273,CETIRIZINE,Antihistaminiques,Non
ALLERTEC,5 mg/5 ml,Sirop,FL/100 ml,4.28,3.57,CETIRIZINE,Antihistaminiques,Non
ALLORIC,100 mg,Comprimes,B/30,6.82,4.845,ALLOPURINOL,Autres,Oui
ALOPIA,5 mg,Comprimes pellicules,B/28,36.99,14.796,FINASTERIDE,Hormones,Oui
ALPHA-GLUCOFF,50 mg,Comprimes,B/90,21.28,16.141,ACARBOSE,Antidiabétiques,Oui
ALPHACOL,"0,20%",Collyre,FL/5 ml,15.785,13.417,BRIMONIDINE,Autres,Oui
ALPHACOL FREE,"0,20%",Collyre,FL/5 ml,17.755,13.417,BRIMONIDINE,Autres,Oui
ALPHAGAN,"0,20%",Collyre,FL/5 ml,21.06,13.417,BRIMONIDINE,Autres,Oui
ALPRESS LP,"2,5 mg",Comprimes à liberation prolongee,B/30,12.472,10.582,PRAZOSINE,Antihypertenseurs,Oui
ALPRESS LP,5 mg,Comprimes à liberation prolongee,B/30,20.982,17.825,PRAZOSINE,Antihypertenseurs,Oui
ALTIAZEM,60 mg,Comprimes,B/30,5.575,4.717,DILTIAZEM,Antihypertenseurs,Oui
ALZOR,"2,00%",Collyre,FL/5 ml,19.39,16.482,DORZOLAMIDE,Autres,Oui
ALZOR 3M,"2,00%",Collyre,FL/5 ml,19.39,16.482,DORZOLAMIDE,Autres,Oui
AMANTEX,100 mg,Gelules,B/50,20.69,17.552,AMANTADINE,Antiviraux,Oui
AMAREL,1 mg,Comprimes,B/30,6.47,3.57,GLIMEPIRIDE,Antidiabétiques,Oui
AMAREL,2 mg,Comprimes,B/30,10.62,5.916,GLIMEPIRIDE,Antidiabétiques,Oui
AMAREL,3 mg,Comprimes,B/30,12.355,7.115,GLIMEPIRIDE,Antidiabétiques,Oui
AMAREL,4 mg,Comprimes,B/30,14.75,8.288,GLIMEPIRIDE,Antidiabétiques,Oui
AMAREL,6 mg,Comprimes,B/30,27.85,9.18,GLIMEPIRIDE,Antidiabétiques,Oui
AMIOCARD,200 mg,Comprimes secables,B/30,7.715,6.553,AMIODARONE,Autres,Oui
AMIPRIDE 200,200 mg,Comprimes secables,B/30,34.765,27.948,AMISULPRIDE,Antipsychotiques,Oui
AMLODEP,5 mg,Comprimes,B/30,12.89,7.14,AMLODIPINE,Antihypertenseurs,Oui
AMLODIS,10 mg,Comprimes,B/30,21.9,9.996,AMLODIPINE,Antihypertenseurs,Oui
AMLODIS,5 mg,Comprimes,B/30,15.785,7.14,AMLODIPINE,Antihypertenseurs,Oui
AMLOR,10 mg,Gelules,B/30,24.905,9.996,AMLODIPINE,Antihypertenseurs,Oui
AMLOR,5 mg,Comprimes,B/15,12.74,3.57,AMLODIPINE,Antihypertenseurs,Oui
AMLOR,5 mg,Comprimes,B/30,26.05,7.14,AMLODIPINE,Antihypertenseurs,Oui
AMLOR,5 mg,Comprimes,B/60,18.46,14.28,AMLODIPINE,Antihypertenseurs,Oui
AMLOR,5 mg,Comprimes,B/90,25.8,21.42,AMLODIPINE,Antihypertenseurs,Oui
AMLOTENS,10 mg,Gelules,B/30,12.865,9.996,AMLODIPINE,Antihypertenseurs,Oui
AMLOTENS,5 mg,Gelules,B/30,8.74,7.14,AMLODIPINE,Antihypertenseurs,Oui
AMLOVAR,5 mg/80 mg,Comprimes pellicules,B/30,44.19,28.356,AMLODIPINE + VALSARTAN,Antihypertenseurs,Oui
AMLOVAR,5 mg/80 mg,Comprimes pellicules,B/90,100.08,85.068,AMLODIPINE + VALSARTAN,Antihypertenseurs,Oui
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/12,18.375,11.914,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/12 sachets,15.005,11.914,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/21,24.595,20.849,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/24 sachets,28.035,23.827,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,1 g/200 mg,Pdre p.prep.injectable,B/1 FL,7.17,6.095,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/30 ml + Ser doseuse,6.155,3.723,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/30 ml + pipette doseuse,7.35,3.723,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + Ser doseuse,8.79,7.446,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + pipette doseuse,10.795,7.446,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"100 mg/12,5 mg/ml",Sirop,FL/30 ml,5.94,3.723,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"100 mg/12,5 mg/ml",Sirop,FL/60 ml,8.875,7.446,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,250 mg,Poudre pour suspension orale,FL/60 ml + Ser doseuse,9.548,8.109,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,500 mg/50 mg,Pdre p.prep.injectable,B/1 FL,3.7,3.145,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"500 mg/62,5 mg",Comprimes pellicules,B/12,9.815,6.222,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"500 mg/62,5 mg",Comprimes pellicules,B/16,10.0,8.296,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"500 mg/62,5 mg",Comprimes pellicules,B/24,14.75,12.444,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOCLAN,"500 mg/62,5 mg",Comprimes pellicules,B/48,29.3,24.888,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,Oui
AMOXAL,1 g,Comprimes dispersibles,B/14,10.86,5.652,AMOXICILLINE,Antibiotiques,Oui
AMPICIL,1 g,Pdre p.prep.injectable,B/1 FL + solv/5 ml,2.4,2.04,AMPICILLINE,Antibiotiques,Oui
AMPICIL IM IV,"0,5 g",Pdre p.prep.injectable,B/1 FL + solv/5 ml,1.41,1.199,AMPICILLINE,Antibiotiques,Oui
AMUCHINA 5%,"5,00%",Solution externe,FL/1000 ml,7.805,2.8,HYPOCHLORITE DE SODIUM,Autres,Non
AMUCHINA 5%,"5,00%",Solution externe,FL/250 ml,3.375,0.7,HYPOCHLORITE DE SODIUM,Autres,Non
AMUCHINA 5%,"5,00%",Solution externe,FL/500 ml,4.1,1.4,HYPOCHLORITE DE SODIUM,Autres,Non
AMUSTIL,"0,50%",Creme dermique,T/30 g,4.02,1.608,IRGASAN,Autres,Oui
AMUSTIL,"0,50%",Creme dermique,T/70 g,10.635,3.752,IRGASAN,Autres,Oui
AMYTRIL 10,10 mg,Comprimes pellicules,B/100,5.47,4.59,AMITRIPTYLINE,Antidépresseurs,Oui
AMYTRIL 10,10 mg,Comprimes pellicules,B/40,3.2,1.836,AMITRIPTYLINE,Antidépresseurs,Oui
AMYTRIL 25,25 mg,Comprimes pellicules,B/100,6.755,5.695,AMITRIPTYLINE,Antidépresseurs,Oui
AMYTRIL 25,25 mg,Comprimes pellicules,B/40,4.285,2.278,AMITRIPTYLINE,Antidépresseurs,Oui
ANAFRANIL,10 mg,Comprimes enrobes,B/60,7.385,6.273,CLOMIPRAMINE,Antidépresseurs,Oui
ANAFRANIL,25 mg,Comprimes,B/50,6.702,5.695,CLOMIPRAMINE,Antidépresseurs,Oui
ANAFRANIL,25 mg,Comprimes enrobes,B/50,9.185,5.695,CLOMIPRAMINE,Antidépresseurs,Oui
ANAFRANIL,25 mg,Solution injectable,B/5/2 ml,4.228,3.591,CLOMIPRAMINE,Antidépresseurs,Oui
ANAFRANIL 75 MG,75 mg,Comprimes pellicules secables,B/20,15.355,13.039,CLOMIPRAMINE,Antidépresseurs,Oui
ANALGAN,500 mg,Comprimes,B/20,2.3,0.85,PARACETAMOL,Analgésiques (antidouleurs),Non
ANALGAN CODEINE,300 mg/25 mg,Comprimes,B/16,2.745,2.326,CODEINE+PARACETAMOL,Analgésiques (antidouleurs),Oui
ANALGAN EXTRA,500 mg/65 mg,Comprimes secables,B/16,2.23,1.782,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),Non
ANASPASM-ORO,80 mg,Comprimes orodispersibles,B/10,3.8,0.984,PHLOROGLUCINOL,Antispasmodiques,Non
ANASPASM-ORO,80 mg,Comprimes orodispersibles,B/20,5.86,1.968,PHLOROGLUCINOL,Antispasmodiques,Non
ANDROCUR,50 mg,Comprimes secables,B/20,29.095,29.08,CYPROTERONE,Hormones,Oui
ANDROTARDYL,250 mg,Solution injectable,B/1/1 ml,13.341,11.34,TESTOSTERONE,Hormones,Oui
ANGIOTEC,20 mg,Comprimes secables,B/30,17.525,11.526,ENALAPRIL,Antihypertenseurs,Oui
ANGIOTEC,5 mg,Comprimes secables,B/30,7.6,4.437,ENALAPRIL,Antihypertenseurs,Oui
ANGIOZIDE,"20 mg/12,5 mg",Comprimes secables,B/30,17.83,15.147,ENALAPRIL + HYDROCHLOROTHIAZIDE,Antihypertenseurs,Oui
ANGORAL,2 mg,Comprimes secables,B/30,4.805,3.392,MOLSIDOMINE,Antihypertenseurs,Oui
ANGORAL,4 mg,Comprimes secables,B/30,9.785,6.503,MOLSIDOMINE,Antihypertenseurs,Oui
ANSEMID,20 mg/2 ml,Solution injectable,B/2/2 ml,1.44,1.068,FUROSEMIDE,Diurétiques,Oui
ANSEMID,20 mg/2 ml,Solution injectable,B/5/2 ml,3.14,2.669,FUROSEMIDE,Diurétiques,Oui
ANSEMID,40 mg,Comprimes secables,B/30,2.93,2.474,FUROSEMIDE,Diurétiques,Oui
ANSEMID,40 mg,Comprimes secables,B/40,4.94,3.298,FUROSEMIDE,Diurétiques,Oui
ANSEMID,500 mg,Comprimes secables,B/36,35.24,29.927,FUROSEMIDE,Diurétiques,Oui
ANTADINE,100 mg,Comprimes pellicules,B/20,5.11,3.57,FLURBIPROFENE,Anti-inflammatoires,Oui
ANTAFEN,100 mg,Comprimes pellicules,B/15,6.575,2.678,FLURBIPROFENE,Anti-inflammatoires,Oui
ANTILIP,200 mg,Gelules,B/30,15.955,9.461,FENOFIBRATE,Autres,Oui
ANTIOMAL 250,250 mg,Comprimes pellicules,B/30,18.04,5.661,LEVETIRACETAM,Anticonvulsivants,Oui
ANTIOMAL 250,250 mg,Comprimes pellicules,B/60,35.84,11.322,LEVETIRACETAM,Anticonvulsivants,Oui
ANTIOMAL 500,500 mg,Comprimes pellicules,B/30,29.84,8.39,LEVETIRACETAM,Anticonvulsivants,Oui
ANTIOMAL 500,500 mg,Comprimes pellicules,B/60,43.74,16.779,LEVETIRACETAM,Anticonvulsivants,Oui
ANTISPASM,80 mg,Comprimes orodispersibles,B/10,4.99,0.984,PHLOROGLUCINOL,Antispasmodiques,Non
ANTISPASM,80 mg,Comprimes orodispersibles,B/20,6.415,1.968,PHLOROGLUCINOL,Antispasmodiques,Non
ANTISPASM,80 mg,Comprimes orodispersibles,B/30,8.515,2.952,PHLOROGLUCINOL,Antispasmodiques,Non
ANTIVIR,200 mg,Comprimes,FL/30,30.81,26.188,ACICLOVIR,Antiviraux,Oui
ANTIVIR,200 mg/5 ml,Suspension buvable,FL/125 ml,17.605,14.875,ACICLOVIR,Antiviraux,Oui
ANTIVIR,"5,00%",Creme dermique,T/5 g,6.135,2.454,ACICLOVIR,Antiviraux,Oui
ANTIVIR,"8,00%",Suspension buvable,FL/125 ml,51.19,14.875,ACICLOVIR,Antiviraux,Oui
ANXETIN,20 mg,Gelules,B/30,24.675,20.961,FLUOXETINE,Antidépresseurs,Oui
ANXIOMYL,6 mg,Comprimes secables,T/30,6.89,1.344,BROMAZEPAM,Anxiolytiques (calmants),Oui
APIDRA SOLOSTAR,100 UI/ml,Solution injectable,B/5 stylo prér/3 ml,88.469,88.465,INSULINE ANALOGUE:GLULISINE,Antidiabétiques,Oui
APRANAX,500 mg,Suppositoires,B/12,6.34,5.386,NAPROXENE,Anti-inflammatoires,Oui
APRANAX 275,275 mg,Comprimes enrobes,B/30,9.175,5.508,NAPROXENE,Anti-inflammatoires,Oui
APRANAX 275,275 mg,Comprimes pellicules,B/10,4.07,1.836,NAPROXENE,Anti-inflammatoires,Oui
APRANAX 550,550 mg,Comprimes enrobes secables,B/16,11.25,6.161,NAPROXENE,Anti-inflammatoires,Oui
APRANAX 550,550 mg,Comprimes enrobes secables,B/8,6.39,3.08,NAPROXENE,Anti-inflammatoires,Oui
APROFORT,150 mg/5 mg,Comprimes pellicules,B/30,33.725,26.546,IRBESARTAN +AMLODIPINE,Antihypertenseurs,Oui
APROFORT,150 mg/5 mg,Comprimes pellicules,B/90,94.14,79.636,IRBESARTAN +AMLODIPINE,Antihypertenseurs,Oui
APROFORT,300 mg/10 mg,Comprimes pellicules,B/30,45.32,33.762,IRBESARTAN +AMLODIPINE,Antihypertenseurs,Oui
APROFORT,300 mg/10 mg,Comprimes pellicules,B/90,122.385,101.286,IRBESARTAN +AMLODIPINE,Antihypertenseurs,Oui
APROFORT,300 mg/5 mg,Comprimes pellicules,B/30,44.05,33.685,IRBESARTAN +AMLODIPINE,Antihypertenseurs,Oui
